term,id,variation,tags
sunday,4642,1,time
support,414,1,verbs
surf,4657,1,outdoors
surprised,4659,1,emotion
sushi,0,fingerspell,food
sweat,4669,1,verbs
swim,8520,1,verbs
T,5839,1,alphabet
table,2704,1,business
taco,7034,1,food
take,2709,1,verbs
take steps,4689,1,verbs
tall,2710,1,descriptor
tan,2711,1,outdoors
teacher,420,1,profession
technology,4714,1,technology
telephone,4716,1,communication
test,4730,1,profession
text,7962,1,communication
thank you,426,1,manners
thursday,709,1,time
to do,8453,1,business
today,440,1,time
tomato,2765,1,food
tomorrow,442,1,time
town,4773,1,location
train,448,1,transit
tree,5405,1,outdoors
try,450,1,verbs
tuesday,713,1,time
type,455,1,communication
U,5840,1,alphabet
umbrella,5276,1,outdoors
understand,715,1,emotion
V,5841,1,alphabet
vacation,4824,1,season
vanilla,5389,1,food
variety,5060,1,social
vegetable,6140,1,food
video,459,1,media
videophone,8535,1,communication
visit,461,1,verbs
vodka,6803,1,food
W,5842,1,alphabet
wake up,4848,1,verbs
wall,5457,1,business
want,465,1,preference
watch,469,1,verbs
wednesday,722,1,time
week,723,1,time
weekend,6131,1,time
welcome,4944,1,manners
whiskey,5379,1,food
wife,484,1,personal
wifi,0,fingerspell,technology
wine,5391,1,food
win,486,1,verbs
winter,727,1,season
work,487,1,business
wrong,731,1,descriptor
X,5843,1,alphabet
Y,5844,1,alphabet
year,732,1,time
yesterday,733,1,time
young,5970,1,descriptor
Z,5845,1,alphabet
